time,y,band,x,spatial_ref,Corn3_prepped_inputs_mod21a1d_catd
2022-09-13,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-13,4218331.140033628,1.0,629271.6446770779,0.0,12.170000000000016
2022-09-13,4219257.765466684,1.0,629271.6446770779,0.0,12.309984130859391
2022-09-14,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-14,4219257.765466684,1.0,629271.6446770779,0.0,10.080003662109391
2022-09-14,4218331.140033628,1.0,629271.6446770779,0.0,10.080003662109391
2022-09-15,4218331.140033628,1.0,629271.6446770779,0.0,15.359998779296916
2022-09-15,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-15,4219257.765466684,1.0,629271.6446770779,0.0,14.699995117187541
2022-09-16,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-09-16,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-16,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-09-17,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-09-17,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-17,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-09-18,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-09-18,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-18,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-09-19,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-19,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-09-19,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-09-20,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-20,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-09-20,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-09-21,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-09-21,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-21,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-09-22,4218331.140033628,1.0,629271.6446770779,0.0,10.879999999999995
2022-09-22,4219257.765466684,1.0,629271.6446770779,0.0,10.879999999999995
2022-09-22,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-23,4219257.765466684,1.0,629271.6446770779,0.0,9.679993896484405
